sample_id,path,clear_scene,cloud_source,masked_fraction,split
browse_demo_0000,data/processed/patches/browse_demo_0000.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.170166015625,train
browse_demo_0001,data/processed/patches/browse_demo_0001.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.166748046875,validation
browse_demo_0002,data/processed/patches/browse_demo_0002.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.151611328125,train
browse_demo_0003,data/processed/patches/browse_demo_0003.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.358154296875,validation
browse_demo_0004,data/processed/patches/browse_demo_0004.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.210693359375,train
browse_demo_0005,data/processed/patches/browse_demo_0005.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.196044921875,validation
browse_demo_0006,data/processed/patches/browse_demo_0006.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.13330078125,train
browse_demo_0007,data/processed/patches/browse_demo_0007.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.15283203125,validation
browse_demo_0008,data/processed/patches/browse_demo_0008.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.156982421875,train
browse_demo_0009,data/processed/patches/browse_demo_0009.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.16845703125,validation
browse_demo_0010,data/processed/patches/browse_demo_0010.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.312744140625,train
browse_demo_0011,data/processed/patches/browse_demo_0011.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.225830078125,validation
browse_demo_0012,data/processed/patches/browse_demo_0012.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.208984375,train
browse_demo_0013,data/processed/patches/browse_demo_0013.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.16015625,validation
browse_demo_0014,data/processed/patches/browse_demo_0014.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.156982421875,train
browse_demo_0015,data/processed/patches/browse_demo_0015.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.15185546875,validation
browse_demo_0016,data/processed/patches/browse_demo_0016.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.2998046875,train
browse_demo_0017,data/processed/patches/browse_demo_0017.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.13037109375,validation
browse_demo_0018,data/processed/patches/browse_demo_0018.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.159423828125,train
browse_demo_0019,data/processed/patches/browse_demo_0019.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.16552734375,validation
browse_demo_0020,data/processed/patches/browse_demo_0020.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF18MAY2025043819011000053SSANSTUC00GTDA,0.229248046875,train
browse_demo_0021,data/processed/patches/browse_demo_0021.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.122802734375,validation
browse_demo_0022,data/processed/patches/browse_demo_0022.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.29736328125,train
browse_demo_0023,data/processed/patches/browse_demo_0023.npz,R2F15FEB2022056180011000053SSANSTUC00GTDB,RAF06JUN2026049275011000053SSANSTUC00GTDA,0.34912109375,validation
browse_demo_0024,data/processed/patches/browse_demo_0024.npz,R2F06NOV2022059931011000053SSANSTUC00GTDA,RAF03JUN2022028474011000053SSANSTUC00GTDD,0.419677734375,train
